work_year,experience_level,employment_type,job_title,salary,salary_currency,company_location,company_size
2023,EN,FT,Applied Scientist,213660,USD,US,L
2023,EN,FT,Applied Scientist,130760,USD,US,L
2023,EN,FT,Data Quality Analyst,100000,USD,NG,L
2023,EN,FT,Compliance Data Analyst,30000,USD,NG,L
2023,EN,FT,Applied Scientist,204620,USD,US,L
2023,EN,FT,Applied Scientist,110680,USD,US,L
2023,EN,FT,Machine Learning Engineer,163196,USD,US,M
2023,EN,FT,Machine Learning Engineer,145885,USD,US,M
2023,EN,FT,Research Scientist,220000,USD,US,L
2023,EN,FT,Data Engineer,85000,USD,US,M
2023,EN,FT,Data Engineer,65000,USD,US,M
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Analyst,70000,USD,US,M
2023,EN,FT,Data Analyst,85000,USD,US,M
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Engineer,1400000,INR,IN,L
2023,EN,FT,Data Engineer,85000,USD,US,M
2023,EN,FT,Data Engineer,65000,USD,US,M
2023,EN,FT,Data Analyst,55000,CAD,CA,L
2023,EN,FT,Data Scientist,70000,CAD,CA,L
2023,EN,FT,Data Scientist,130001,USD,US,M
2023,EN,FT,Data Scientist,71907,USD,US,M
2023,EN,FT,Data Engineer,85000,USD,US,M
2023,EN,FT,Data Engineer,65000,USD,US,M
2023,EN,FT,Applied Scientist,213660,USD,US,L
2023,EN,FT,Applied Scientist,130760,USD,US,L
2023,EN,FT,BI Data Engineer,60000,USD,US,M
2023,EN,FT,Data Engineer,85000,USD,US,M
2023,EN,FT,Data Engineer,65000,USD,US,M
2023,EN,FT,Research Engineer,155000,USD,US,M
2023,EN,FT,Research Engineer,125000,USD,US,M
2023,EN,FT,Research Engineer,155000,USD,US,M
2023,EN,FT,Research Engineer,125000,USD,US,M
2023,EN,FT,Data Analyst,64200,USD,US,M
2023,EN,FT,Data Analyst,56100,USD,US,M
2023,EN,FT,Data Engineer,92700,USD,US,M
2023,EN,FT,Data Engineer,61800,USD,US,M
2023,EN,FT,Business Data Analyst,20000,EUR,ES,M
2023,EN,FT,Research Engineer,160000,USD,US,M
2023,EN,FT,Research Engineer,120000,USD,US,M
2023,EN,FT,Autonomous Vehicle Technician,7000,USD,GH,S
2023,EN,FT,Applied Machine Learning Scientist,40000,EUR,DE,M
2023,EN,FT,Data Scientist,190000,USD,US,M
2023,EN,FT,Data Scientist,120000,USD,US,M
2023,EN,FT,Data Scientist,112000,CHF,CH,L
2023,EN,FT,Data Analyst,85000,USD,US,M
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Engineer,92700,USD,US,M
2023,EN,FT,Data Engineer,61800,USD,US,M
2023,EN,FT,Data Engineer,62000,USD,US,M
2023,EN,FT,Data Engineer,58000,USD,US,M
2023,EN,FT,Data Engineer,125000,USD,US,M
2023,EN,FT,Data Engineer,90000,USD,US,M
2023,EN,FT,Data Analyst,95000,USD,US,M
2023,EN,FT,Data Analyst,70000,USD,US,M
2023,EN,FT,Data Engineer,115100,USD,US,M
2023,EN,FT,Data Engineer,73900,USD,US,M
2023,EN,FT,AI Programmer,70000,USD,AU,L
